Label,Phase,TitleLv,TitleEn,DescriptionLv,DescriptionEn,Suggests,Notes
ClarifyGoal,Understand,Noskaidro doto un prasīto,Clarify Givens and Goal,"Pārlasi uzdevumu: kas tieši ir dots, kas jāatrod vai jāpierāda? Izstāsti uzdevumu saviem vārdiem; atceries iesaistītās definīcijas.","Re-read the problem: what exactly is given, what must be found or proved? Restate the problem in your own words; recall the definitions involved.",,"Jauna rinda (2026). Polya 1. fāze (""Understanding the problem"")."
DrawPicture,Understand,Uzzīmē attēlu,Draw a Picture,"Jauna attēla vai shēmas izveidošana, lai vizualizētu uzdevuma situāciju kādā negaidītā veidā.","Creating a new picture or diagram to visualise the situation of the problem, possibly in an unexpected way.",MTH_GeometricInterpretation,"Polya: ""Draw a figure."""
UsingAllData,Understand,Izmanto visu doto,Use All the Data,"Risinājuma apzināta veidošana tā, lai izmantotu visu, kas ir dots",Deliberately building the solution so that everything given is used; asking which given condition has not been used yet.,,"Polya: ""Did you use all the data?"""
TrialAndError,Explore,Mēģini un kļūdies,Trial and Error,"Ķēpāšanās, dažādu gadījumu nesistemātiska aplūkošana.",Messing around: unsystematic exploration of various cases to get a feel for the problem.,,"Zeitz: ""get your hands dirty""."
SmallCases,Explore,Mazie gadījumi,Small Cases,"Izmēģini vismazākos gadījumus ($n = 1, 2, 3, \ldots$) vai mazu piemēru — ko vari pamanīt?","Try the smallest instances ($n = 1, 2, 3, \ldots$) or a small example — what do you notice?",,"Jauna rinda (2026). Zeitz: ""get your hands dirty""."
LookForPattern,Explore,Meklē likumsakarību,Look for a Pattern,Apkopo iegūtos rezultātus tabulā un meklē likumsakarību; tad mēģini to pierādīt.,Tabulate the results obtained so far and look for a pattern; then try to prove it.,MTH_MathematicalInduction,Jauna rinda (2026).
ExtremeCases,Explore,Robežgadījumi,Extreme Cases,"Aplūko galējos vai deģenerētos gadījumus: vislielāko/vismazāko vērtību, robežstāvokli, vienādības gadījumu.","Examine extreme or degenerate cases: the largest/smallest value, the boundary configuration, the equality case.",,Jauna rinda (2026).
GuessThenProve,Explore,Uzmini atbildi,"Guess, Then Prove","Mēģini uzminēt atbildi (no mazajiem gadījumiem vai pēc tās sagaidāmās formas) — tad pierādi, ka tā ir pareiza.",Try to guess the answer (from small cases or from its expected shape) — then prove that it is correct.,,Jauna rinda (2026).
TryToDisprove,Explore,Mēģini apgāzt,Try to Disprove,"Pirms pierādi, mēģini apgalvojumu apgāzt — meklē pretpiemēru. Vieta, kur pretpiemērs ""gandrīz izdodas"", parāda, kur slēpjas pierādījuma kodols.","Before proving, try to disprove the statement — search for a counterexample. The place where a counterexample ""almost works"" shows where the core of the proof lies.",,Jauna rinda (2026).
DropCondition,Explore,Atmet nosacījumu,Drop a Condition,Uz brīdi atmet vai atslābini vienu no nosacījumiem: kas tad kļūst iespējams? Tas parāda šī nosacījuma lomu uzdevumā.,Temporarily drop or relax one of the conditions: what becomes possible then? This reveals the role that condition plays in the problem.,,"Jauna rinda (2026). Polya: ""keep only a part of the condition""."
Analogy,Reformulate,Analoģija,Analogy,Jau zināmas problēmas izmantošana atrisinājumā vai atsaukšanās uz citu uzdevumu.,"Using an already known problem in the solution, or referring to another, similar problem.",,"Polya: ""Do you know a related problem?"""
Paraphrase,Reformulate,Pārformulē,Paraphrase,Uzdevuma pārformulēšana citos jēdzienos vai apzīmējumos.,Restating the problem in other concepts or notation.,MTH_InterpretationMethod,
Enumeration,Reformulate,Numerācija un kodēšana,Enumeration and Encoding,Uzdevumā sastopamo objektu vai situāciju numurēšana (aizstāšana ar skaitļiem) vai kodēšana (aizstāšana ar burtu virknītēm).,Numbering the objects or situations of the problem (replacing them with numbers) or encoding them (replacing them with symbol strings).,MTH_InterpretationWithCoding,
MakingItEasier,Reformulate,Vienkāršo uzdevumu,Make It Easier,"Situācijas vienkāršošana, sākotnējo uzdevumu atvieglojoši pārveidojumi.",Simplifying the situation; transformations that make the original problem easier; first solving a special case.,,"Polya: ""try to solve first some related, easier problem""; Zeitz: ""wishful thinking and make it easier""."
